Company Name,Full Description,Description,Founder Name,Founded In,Location,Category,No. of Employees,Company Website,Company Type,Technologies,Business Functions,Business Model,IndiaAI URL
"Attentive AI creates digital maps by performing deep learning on satellite, aerial and drone imagery.",,"Attentive AI creates digital maps by performing deep learning on satellite, aerial and drone imagery. is a  company founded in 2017, based in Delhi, India",,2017,"Delhi, India",,50,http://www.unipune.ac.in/,AI/ML,,,,https://indiaai.gov.in/startup/attentive-ai-solutions-private-limited
CogniCor Technologies Pvt ltd,,Technologies: is a female-founded organization that provides AI-augmented digital assistants to financial services. The company is created out of Dr Sindhu Joseph’s PhD thesis. Their team has a unique mix of AI and wealth management expertise and offering a unique value proposition for the customers. They help enterprises to delight their customers by providing them with a cognitive interface which gives compliant and accurate answers and financial advice to their clients. | Type: Fintech company,,2013,,,70,https://CTPl.ai,Fintech,is a female-founded organization that provides AI-augmented digital assistants to financial services. The company is created out of Dr Sindhu Joseph’s PhD thesis. Their team has a unique mix of AI and wealth management expertise and offering a unique value proposition for the customers. They help enterprises to delight their customers by providing them with a cognitive interface which gives compliant and accurate answers and financial advice to their clients.,,,https://indiaai.gov.in/startup/cognicor-technologies-pvt-ltd
Decision Point Analytics,"Decision Point develops analytics & big data solutions for CPG, Retail & Consumer focussed industries.","Decision Point develops analytics & big data solutions for CPG, Retail & Consumer focussed industries. | Type: Other company",,,"Haryana, India",,0,https://decisionpointanalytics.in,Other,,,,https://indiaai.gov.in/startup/decision-point-analytics
Niramai,Health technology startup that develops breast cancer screening solutions,"Health technology startup that develops breast cancer screening solutions | Technologies: Niramai or Non-Invasive Risk Assessment with Machine Intelligence has developed an early breast cancer detection technology that is a radiation-free and non-invasive. The solution is based on thermal imaging and is portable, accurate, and can be used for women of all ages. | Type: Healthcare company",,2016,"Karnataka, India",,42,https://niramai.com,Healthcare,"Niramai or Non-Invasive Risk Assessment with Machine Intelligence has developed an early breast cancer detection technology that is a radiation-free and non-invasive. The solution is based on thermal imaging and is portable, accurate, and can be used for women of all ages.",,,https://indiaai.gov.in/startup/niramai
Tripeur,Unleashing the power of AI and Bots in the Corporate Travel Space,Unleashing the power of AI and Bots in the Corporate Travel Space | Type: Travel company,,2015,"Bengaluru, India",,34,https://tripeur.com,Travel,,,,https://indiaai.gov.in/startup/tripeur
Haptik,,Technologies: Artificial Intelligence technology-based start-ups on Thursday lauded government role in giving them back up and sought a regulatory regime... | Type: AI/ML company,Aakrit Vaish,2013,"Maharashtra, India",,175,https://haptik.ai,AI/ML,Artificial Intelligence technology-based start-ups on Thursday lauded government role in giving them back up and sought a regulatory regime...,,,https://indiaai.gov.in/startup/haptik
DronaMaps,An enterprise platform to help drone users extract analytics from imagery captured through drones.,An enterprise platform to help drone users extract analytics from imagery captured through drones. | Type: SaaS company,Ayushi Mishra,,"Haryana, India",,13,https://dronamaps.com,SaaS,,,,https://indiaai.gov.in/startup/dronamaps
Staqu Technologies Pvt. Ltd.,Staqu provides advanced AI tools for clients in law enforcement and security domain.,"Staqu provides advanced AI tools for clients in law enforcement and security domain. | Technologies: Staqu Technologies is an AI startup that provides advanced image analysis, language and speaker identification engine, and facial recognition and text processing for clients in law enforcement and security domain. Staqu targets B2B segment by customizing solutions for clients with a proprietary AI technology stack comprising: advanced image and video analysis tools and speech recognition | Type: Cybersecurity company",,,"Haryana, India",,33,https://STPL.com,Cybersecurity,"Staqu Technologies is an AI startup that provides advanced image analysis, language and speaker identification engine, and facial recognition and text processing for clients in law enforcement and security domain. Staqu targets B2B segment by customizing solutions for clients with a proprietary AI technology stack comprising: advanced image and video analysis tools and speech recognition, facial recognition and text processing APIs.",,,https://indiaai.gov.in/startup/staqu-technologies-pvt-ltd
Qure.ai,,"Technologies: With over a billion of the population in the country, India does not have enough number of radiologists. The skewed radiologists to patient ratio of 1:100K means early and timely disease detection is definitely a major challenge in the Indian healthcare market. Qure.ai was founded to address the need for affordable and accessible diagnostics using deep learning technology. The company claims its algorithms can detect clinically-relevant abnormal trauma findings from X-rays, CT Scans and MRIs in lesser time that doctors typically take which is about less than 3 minutes with 95 percent accuracy. | Type: Healthcare company",,2016,"Maharashtra, India",,30,https://Q.com,Healthcare,"With over a billion of the population in the country, India does not have enough number of radiologists. The skewed radiologists to patient ratio of 1:100K means early and timely disease detection is definitely a major challenge in the Indian healthcare market. Qure.ai was founded to address the need for affordable and accessible diagnostics using deep learning technology. The company claims its algorithms can detect clinically-relevant abnormal trauma findings from X-rays, CT Scans and MRIs in lesser time that doctors typically take which is about less than 3 minutes with 95 percent accuracy.",,,https://indiaai.gov.in/startup/qure-ai
H2O.ai,A technology platform which is democratizing AI,"A technology platform which is democratizing AI | Technologies: Undoubtedly, AI is becoming a key technology in many sectors. The way we looked at this technology a decade back is no longer valid. The... | Type: SaaS company",Sri Ambati is the,,"Tamil Nadu, India",,300,https://h2o.ai/company/,SaaS,"Undoubtedly, AI is becoming a key technology in many sectors. The way we looked at this technology a decade back is no longer valid. The...",,,https://indiaai.gov.in/startup/h2o-ai
Jovian.ml,Project tracking and collaboration platform for data science & machine learning,Project tracking and collaboration platform for data science & machine learning | Type: SaaS company,He is the co,2018,"Bengaluru, India",,10,https://J.ai,SaaS,,,,https://indiaai.gov.in/startup/jovian-ml
Forus Health,Forus Health is a medical technology company.,"Forus Health is a medical technology company. | Technologies: Forus Health is a medical technology company with an audacious goal — to eradicate preventable blindness, which is a global healthcare challenge today. | Type: Healthcare company",based in Bengaluru,,"Karnataka, India",,149,https://forushealth.com,Healthcare,"Forus Health is a medical technology company with an audacious goal — to eradicate preventable blindness, which is a global healthcare challenge today.",,"Preventable blindness affects millions of people around the world today. This scenario is further compounded by the poor ratio of ophthalmologists to patients in many countries across the world. Forus Health believes that innovation in technology and creative business models can help develop sustainable access to vision care. Creating social impact is in their DNA and every product they design is a direct consequence of solving a problem. This is the very philosophy with which Forus' founding team — curious minds passionate about creative problem-solving — set out to create a healthcare ecosystem in 2010 in Bangalore, India.",https://indiaai.gov.in/startup/forus-health
Vaultedge,,"Vaultedge is a  company founded in 2015, based in Karnataka, India",Founded on Innovation,2015,"Karnataka, India",,4,https://vaultedge.com,Other,,,,https://indiaai.gov.in/startup/vaultedge
EasyGov,EasyGov is empowering people and transforming governance.,EasyGov is empowering people and transforming governance. | Type: Other company,Amit Shukla,,"UP, India",,37,https://easygov.com,Other,,,,https://indiaai.gov.in/startup/easygov
Jungroo Learning,Jungroo is an AI-powered adaptive learning platform,Jungroo is an AI-powered adaptive learning platform | Technologies: is booming in India. Listed here are some startups that have created maximum impact... | Type: SaaS company,,,"Karnataka, India",,5,https://JL.ai,SaaS,is booming in India. Listed here are some startups that have created maximum impact...,,,https://indiaai.gov.in/startup/jungroo-learning
